,dt,PM2.5
165,2016-11-13,94.00694444444444
166,2016-11-14,43.29602888086642
167,2016-11-15,39.37455830388693
168,2016-11-16,98.8962962962963
169,2016-11-17,114.7298245614035
170,2016-11-18,189.51943462897526
171,2016-11-19,124.02439024390245
172,2016-11-20,55.12720848056537
173,2016-11-21,9.621052631578948
174,2016-11-22,8.249110320284698
175,2016-11-23,18.644128113879002
176,2016-11-24,68.75912408759125
177,2016-11-25,153.68641114982577
178,2016-11-26,255.26666666666668
179,2016-11-27,56.94097222222222
180,2016-11-28,59.851985559566785
181,2016-11-29,96.20567375886525
182,2016-11-30,90.02491103202847
183,2016-12-01,13.160714285714286
184,2016-12-02,148.0
185,2016-12-03,105.39716312056737
186,2016-12-04,77.11929824561403
187,2016-12-05,38.533088235294116
188,2016-12-06,67.65591397849462
